"","Site","Triplicate","Layer","Al","As","Cd","Co","Cr","Cu","Fe","Mn","Ni","Pb","S","Zn","Acidity1","Acidity","Treatment"
"26","S08","A","1 No",416.308729267164,0.00991211260159915,0.0902002246745523,0.634375206502346,0.34692394105597,9.41650697151919,346.92394105597,8.12793233331131,2.57714927641578,0.0178418026828785,1486.81689023987,4.95605630079958,171.2851672218,240.904539000778,"Non-incubated"
"27","S08","B","1 No",615.751315920151,0.0178766511073592,0.148972092561327,1.19177674049061,0.705134571456947,5.66093951733042,625.682788757573,10.924620121164,4.27053332009137,0.0605819843082729,2284.23875260701,7.24997517131791,198.531602879096,274.525647242063,"Non-incubated"
"28","S08","C","1 No",296.794618124258,0.0118717847249703,0.0296794618124258,0.35615354174911,0.366046695686585,7.41986545310645,227.542540561931,6.03482390185991,1.58290462999604,0.0148397309062129,1088.24693312228,2.17649386624456,143.554243723694,211.234298877372,"Non-incubated"
"29","S09","A","1 No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.714118638947,33.9333238303597,"Non-incubated"
"30","S09","B","1 No",0.993574882426972,0.0025,5e-04,0.0308008213552361,0.00516658938862025,0.0943896138305624,1.39100483539776,1.19228985891237,0.238457971782473,0.001,66.5695171226071,0.149036232364046,11.3778020890712,19.2994898593569,"Non-incubated"
"31","S09","C","1 No",39.7838411298611,0.00785730862314757,0.0198919205649305,0.427676292146007,0.0338162649603819,1.09405563107118,11.9351523389583,7.55892981467361,1.59135364519444,0.00716109140337499,328.216689321354,2.58594967344097,35.8270987259961,50.4480044424037,"Non-incubated"
"32","S09","C","1 No",40.0333611342786,0.00710592160133444,0.0190158465387823,0.420350291909925,0.0350291909924937,0.970809007506255,14.0116763969975,7.90658882402002,1.50125104253545,0.00650542118432027,330.275229357798,2.40200166805671,35.8270987259961,50.4480044424037,"Non-incubated"
"33","S10","A","1 No",117.951574325874,0.0025,0.00530782084466433,0.294878935814685,0.0678221552373775,1.27780872186363,48.1635595163985,12.7780872186363,1.867566593493,0.0658562956652796,520.952786605943,1.17951574325874,85.1472560703179,116.175749243053,"Non-incubated"
"34","S10","B","1 No",15.6581308106345,0.0025,0.00518675583102267,0.185940303376284,0.0156581308106345,0.166367639862991,5.18675583102267,8.31838199314957,0.743761213505138,0.00910128853368129,362.094274995922,0.548034578372207,63.3178289839351,97.6306236915714,"Non-incubated"
"35","S10","C","1 No",4.48326248671626,0.0025,0.00169367693942614,0.0528028692879915,0.0149442082890542,0.109590860786397,2.68995749202976,2.78958554729012,0.418437832093518,0.00627656748140276,139.479277364506,0.239107332624867,51.534831279383,75.7993753812345,"Non-incubated"
"36","S11","A","1 No",25.0158433674661,0.00540342216737267,0.00630399252860145,0.200126746939728,0.0210133084286715,0.290183783062606,17.0107734898769,11.0069710816851,0.740468963676995,0.0130082385510824,430.272505920416,0.910576698575765,91.0695448878998,124.223655104674,"Non-incubated"
"37","S11","B","1 No",139.725207092718,0.006786652915932,0.0299411158055824,1.09784091287135,0.0928174589973053,2.49509298379853,77.8469010945141,19.9607438703882,2.59489670315047,0.0978076449649024,1097.84091287135,2.89430786120629,136.050354633241,191.16947078557,"Non-incubated"
